  
       XFOIL         Version 6.99
  
 Calculated polar for: AutoFoil                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.087     Re =     0.112 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.000   0.9741   0.01649   0.00887  -0.1550   0.7314   1.0000
   3.250   0.9975   0.01661   0.00898  -0.1539   0.7191   1.0000
   3.500   1.0334   0.01642   0.00871  -0.1550   0.7096   1.0000
   3.750   1.0546   0.01663   0.00894  -0.1536   0.6962   1.0000
   4.000   1.0814   0.01666   0.00895  -0.1531   0.6823   1.0000
   4.250   1.1121   0.01663   0.00887  -0.1533   0.6690   1.0000
   4.500   1.1334   0.01681   0.00906  -0.1519   0.6514   1.0000
   4.750   1.1633   0.01682   0.00901  -0.1519   0.6354   1.0000
   5.000   1.1844   0.01705   0.00922  -0.1504   0.6148   1.0000
   5.250   1.2090   0.01722   0.00934  -0.1495   0.5941   1.0000
   5.500   1.2335   0.01743   0.00957  -0.1485   0.5694   1.0000
   5.750   1.2528   0.01778   0.00989  -0.1468   0.5436   1.0000
   6.000   1.2728   0.01817   0.01018  -0.1452   0.5167   1.0000
   6.250   1.2909   0.01864   0.01051  -0.1433   0.4872   1.0000
   6.500   1.3070   0.01919   0.01090  -0.1410   0.4589   1.0000
   6.750   1.3210   0.01980   0.01140  -0.1385   0.4293   1.0000
   7.000   1.3345   0.02048   0.01197  -0.1360   0.4001   1.0000
   7.250   1.3463   0.02125   0.01261  -0.1333   0.3706   1.0000
   7.500   1.3570   0.02210   0.01333  -0.1305   0.3427   1.0000
   7.750   1.3666   0.02304   0.01414  -0.1276   0.3163   1.0000
   8.000   1.3761   0.02401   0.01500  -0.1249   0.2914   1.0000
   8.250   1.3864   0.02499   0.01591  -0.1223   0.2675   1.0000
   8.500   1.3953   0.02607   0.01691  -0.1197   0.2456   1.0000
   8.750   1.4019   0.02732   0.01823  -0.1168   0.2239   1.0000
   9.000   1.4115   0.02847   0.01936  -0.1145   0.2044   1.0000
   9.250   1.4202   0.02968   0.02056  -0.1121   0.1888   1.0000
   9.500   1.4277   0.03101   0.02184  -0.1097   0.1732   1.0000
   9.750   1.4368   0.03228   0.02314  -0.1076   0.1601   1.0000
  10.000   1.4440   0.03372   0.02456  -0.1054   0.1479   1.0000
  10.250   1.4522   0.03513   0.02602  -0.1033   0.1386   1.0000
  10.500   1.4613   0.03652   0.02749  -0.1015   0.1299   1.0000
  10.750   1.4669   0.03819   0.02917  -0.0994   0.1224   1.0000
  11.000   1.4735   0.03982   0.03086  -0.0974   0.1159   1.0000
  11.250   1.4821   0.04132   0.03250  -0.0957   0.1093   1.0000
  11.500   1.4870   0.04314   0.03438  -0.0939   0.1028   1.0000
  11.750   1.4880   0.04538   0.03657  -0.0919   0.0969   1.0000
  12.000   1.4970   0.04699   0.03838  -0.0905   0.0916   1.0000
  12.250   1.5030   0.04886   0.04049  -0.0891   0.0864   1.0000
  12.500   1.5064   0.05102   0.04273  -0.0876   0.0823   1.0000
  12.750   1.5068   0.05352   0.04526  -0.0861   0.0786   1.0000
  13.000   1.5107   0.05576   0.04762  -0.0847   0.0754   1.0000
  13.250   1.5164   0.05787   0.04993  -0.0836   0.0720   1.0000
  13.500   1.5197   0.06021   0.05244  -0.0826   0.0683   1.0000
  13.750   1.5205   0.06281   0.05516  -0.0817   0.0650   1.0000
  14.000   1.5187   0.06574   0.05815  -0.0809   0.0620   1.0000
  14.250   1.5159   0.06893   0.06137  -0.0802   0.0590   1.0000
  14.500   1.5187   0.07162   0.06431  -0.0797   0.0568   1.0000
  14.750   1.5201   0.07455   0.06745  -0.0792   0.0548   1.0000
  15.000   1.5198   0.07773   0.07081  -0.0790   0.0527   1.0000
  15.250   1.5188   0.08105   0.07431  -0.0790   0.0507   1.0000
  15.500   1.5160   0.08467   0.07809  -0.0793   0.0490   1.0000
  15.750   1.5124   0.08844   0.08200  -0.0798   0.0474   1.0000
  16.000   1.5077   0.09242   0.08608  -0.0804   0.0461   1.0000
  16.250   1.5034   0.09626   0.08999  -0.0809   0.0443   1.0000
  16.500   1.4988   0.10036   0.09428  -0.0817   0.0434   1.0000
  16.750   1.4915   0.10509   0.09928  -0.0833   0.0424   1.0000
  17.000   1.4832   0.11005   0.10449  -0.0852   0.0415   1.0000
  17.250   1.4729   0.11549   0.11018  -0.0876   0.0405   1.0000
  17.500   1.4610   0.12131   0.11622  -0.0906   0.0395   1.0000
  17.750   1.4473   0.12755   0.12268  -0.0942   0.0387   1.0000
  18.000   1.4314   0.13460   0.12996  -0.0985   0.0380   1.0000
  18.250   1.4137   0.14250   0.13806  -0.1036   0.0371   1.0000
  18.500   1.3831   0.15411   0.14994  -0.1110   0.0373   1.0000
  18.750   1.2397   0.20525   0.20135  -0.1404   0.0391   1.0000
  19.000   1.2125   0.22274   0.21878  -0.1484   0.0374   1.0000
  19.250   1.2105   0.22948   0.22553  -0.1515   0.0354   1.0000
  19.500   1.2097   0.23582   0.23188  -0.1543   0.0341   1.0000
  19.750   1.2127   0.24014   0.23623  -0.1562   0.0329   1.0000
  20.000   1.2241   0.23986   0.23601  -0.1564   0.0316   1.0000
  20.250   1.2208   0.24706   0.24319  -0.1593   0.0305   1.0000
  20.500   1.2089   0.25999   0.25611  -0.1641   0.0296   1.0000
  20.750   1.2028   0.27002   0.26615  -0.1676   0.0291   1.0000
  21.000   1.1966   0.28028   0.27642  -0.1712   0.0279   1.0000
  21.250   1.1938   0.28847   0.28462  -0.1738   0.0275   1.0000
  21.500   1.1903   0.29689   0.29307  -0.1763   0.0268   1.0000
  21.750   1.1878   0.30449   0.30068  -0.1785   0.0267   1.0000
  22.000   1.1844   0.31231   0.30853  -0.1806   0.0262   1.0000
  22.250   1.1802   0.32016   0.31641  -0.1825   0.0260   1.0000
  22.500   1.1768   0.32676   0.32305  -0.1839   0.0265   1.0000
  22.750   1.1717   0.33340   0.32973  -0.1850   0.0269   1.0000
  23.000   1.1616   0.34049   0.33686  -0.1856   0.0269   1.0000
  23.750   1.0005   0.32240   0.31920  -0.1642   0.0299   1.0000
  24.250   0.9733   0.32570   0.32259  -0.1652   0.0272   1.0000
  24.500   0.9670   0.32679   0.32373  -0.1656   0.0249   1.0000
  24.750   0.9590   0.32782   0.32479  -0.1656   0.0256   1.0000
  25.000   0.9525   0.32898   0.32599  -0.1658   0.0248   1.0000
